GERMAN                  ENGLISH
---------------------------------------------------
Raesfeld -              Raesfeld (a town name)
Flughafen -             Airport
Berlin -                Berlin (city name)
Bratwurst -             Bratwurst; German sausage
Hauptstrasse -          Main street
Brot -                  Bread
Klimaanlage -           Air conditioning
Rammstein -             Rammstein (the name of a band)
Porsche -               Porsche (brand name)
BMW -                   BMW (brand name)
Biergarten -            Beer garden
Ratskeller -            Council cellar (historic restaurant in basement of city hall)
Dirndl -                Traditional Alpine dress/costume
Lederhose -             Leather pants; leather shorts
Schloss -               Castle
Wettbewerbsfaehig -     Competitive
Mehlhase -              A surname, no translation needed; Literal Translation: "Flour hare"
Gebaeck -               Pastry;baked goods
Baeckerei -             Bakery
Hund -                  Dog
Doener -                Doner kebab
Apfelkuchen -           Apple cake; Apple pie
Schloss Eltz -          Eltz Castle; a medieval castle in Germany
